,aid_from,aid_to,step_from,step_to,function,craftdroid_evaluate
487,a34,a31,4,3,b31,fp
488,a34,a31,5,5,b31,fp
489,a34,a31,6,-1,b31,fp
490,a34,a31,7,6,b31,fn
491,a34,a31,8,7,b31,fn
492,a34,a31,9,8,b31,fp
493,a34,a32,0,-1,b31,fp
494,a34,a32,1,-1,b31,fp
495,a34,a32,2,1,b31,fp
496,a34,a32,3,2,b31,fp
497,a34,a32,4,3,b31,fp
498,a34,a32,5,4,b31,fp
499,a34,a32,6,-1,b31,fp
500,a34,a32,7,5,b31,fp
501,a34,a32,8,6,b31,fn
502,a34,a32,9,7,b31,fp
503,a34,a35,0,-1,b31,fp
504,a34,a35,1,-1,b31,fp
505,a34,a35,2,5,b31,fp
506,a34,a35,3,6,b31,tp
507,a34,a35,4,7,b31,tp
508,a34,a35,5,8,b31,tp
509,a34,a35,6,-1,b31,fp
510,a34,a35,7,10,b31,tp
511,a34,a35,8,11,b31,tp
512,a34,a35,9,13,b31,tp
513,a35,a31,0,-1,b31,fp
514,a35,a31,1,-1,b31,fp
515,a35,a31,2,-1,b31,tn
516,a35,a31,3,-1,b31,fp
517,a35,a31,4,0,b31,fn
518,a35,a31,5,1,b31,fp
519,a35,a31,6,2,b31,fp
520,a35,a31,7,3,b31,fp
521,a35,a31,8,5,b31,tp
522,a35,a31,9,-1,b31,fp
523,a35,a31,10,6,b31,tp
524,a35,a31,11,7,b31,tp
525,a35,a31,12,-1,b31,fp
526,a35,a31,13,8,b31,tp
527,a35,a32,0,-1,b31,fp
528,a35,a32,1,-1,b31,fp
529,a35,a32,2,-1,b31,tn
530,a35,a32,3,-1,b31,fp
531,a35,a32,4,0,b31,fn
532,a35,a32,5,1,b31,fp
533,a35,a32,6,2,b31,fp
534,a35,a32,7,3,b31,fp
535,a35,a32,8,4,b31,fp
536,a35,a32,9,-1,b31,fp
537,a35,a32,10,5,b31,fn
538,a35,a32,11,6,b31,fn
539,a35,a32,12,-1,b31,fp
540,a35,a32,13,7,b31,fp
541,a35,a34,0,-1,b31,fp
542,a35,a34,1,-1,b31,fp
543,a35,a34,2,0,b31,fp
544,a35,a34,3,1,b31,fp
545,a35,a34,4,-1,b31,fp
546,a35,a34,5,2,b31,fp
547,a35,a34,6,3,b31,tp
548,a35,a34,7,4,b31,tp
549,a35,a34,8,5,b31,fp
550,a35,a34,9,-1,b31,fp
551,a35,a34,10,7,b31,tp
552,a35,a34,11,8,b31,tp
553,a35,a34,12,-1,b31,fp
554,a35,a34,13,9,b31,tp
555,a31,a32,0,-1,b32,fp
556,a31,a32,1,-1,b32,fp
557,a31,a32,2,0,b32,tp
558,a31,a32,3,1,b32,tp
559,a31,a32,4,2,b32,tp
560,a31,a32,5,3,b32,tp
561,a31,a34,0,2,b32,tp
562,a31,a34,1,3,b32,tp
563,a31,a34,2,4,b32,tp
564,a31,a34,3,5,b32,tp
565,a31,a34,4,6,b32,fp
566,a31,a34,5,7,b32,fp
567,a31,a35,0,2,b32,fp
568,a31,a35,1,3,b32,fp
569,a31,a35,2,4,b32,tp
570,a31,a35,3,5,b32,tp
571,a31,a35,4,6,b32,tp
572,a31,a35,5,7,b32,fn
573,a31,a35,6,-1,b32,fp
574,a31,a35,7,-1,b32,fp
575,a31,a35,8,8,b32,fn
576,a32,a31,0,2,b32,tp
577,a32,a31,1,3,b32,tp
578,a32,a31,2,4,b32,tp
579,a32,a31,3,5,b32,tp
580,a34,a31,0,-1,b32,fp
581,a34,a31,1,-1,b32,fp
582,a34,a31,2,0,b32,fp
583,a34,a31,3,1,b32,fp
584,a34,a31,4,2,b32,tp
585,a34,a31,5,3,b32,tp
586,a34,a31,6,4,b32,tp
587,a34,a31,7,5,b32,tp
588,a34,a32,0,-1,b32,fp
589,a34,a32,1,-1,b32,fp
590,a34,a32,2,-1,b32,fp
591,a34,a32,3,-1,b32,fp
592,a34,a32,4,0,b32,tp
593,a34,a32,5,1,b32,tp
594,a34,a32,6,2,b32,tp
595,a34,a32,7,3,b32,tp
596,a34,a35,0,0,b32,tp
597,a34,a35,1,1,b32,fp
598,a34,a35,2,2,b32,fp
599,a34,a35,3,3,b32,fp
600,a34,a35,4,4,b32,fn
601,a34,a35,5,5,b32,fn
602,a34,a35,6,6,b32,fn
603,a34,a35,7,7,b32,fn
604,a35,a31,0,-1,b32,fp
605,a35,a31,1,-1,b32,fp
606,a35,a31,2,0,b32,fn
607,a35,a31,3,1,b32,fp
608,a35,a31,4,2,b32,fp
609,a35,a31,5,3,b32,fp
610,a35,a31,6,4,b32,fp
611,a35,a31,7,5,b32,fp
612,a35,a31,8,8,b32,fn
613,a35,a32,0,-1,b32,fp
614,a35,a32,1,-1,b32,fp
615,a35,a32,2,-1,b32,tn
616,a35,a32,3,-1,b32,fp
617,a35,a32,4,0,b32,fn
618,a35,a32,5,1,b32,fn
619,a35,a32,6,2,b32,fp
620,a35,a32,7,3,b32,fp
621,a35,a34,0,0,b32,tp
622,a35,a34,1,1,b32,tp
623,a35,a34,2,2,b32,tp
624,a35,a34,3,3,b32,tp
625,a35,a34,4,4,b32,tp
626,a35,a34,5,5,b32,tp
627,a35,a34,6,6,b32,tp
628,a35,a34,7,7,b32,tp
629,a41,a42,0,0,b41,tp
630,a41,a42,1,1,b41,tp
631,a41,a42,2,2,b41,tp
632,a41,a42,3,3,b41,tp
633,a41,a42,4,4,b41,tp
634,a41,a44,0,0,b41,tp
635,a41,a44,1,1,b41,tp
636,a41,a44,2,2,b41,tp
637,a41,a44,3,3,b41,tp
638,a41,a44,4,4,b41,tp
639,a41,a45,0,0,b41,tp
640,a41,a45,1,1,b41,tp
641,a41,a45,2,2,b41,tp
642,a41,a45,3,3,b41,tp
643,a41,a45,4,4,b41,tp
644,a42,a41,0,0,b41,tp
645,a42,a41,1,1,b41,tp
646,a42,a41,2,2,b41,tp
647,a42,a41,3,3,b41,tp
648,a42,a41,4,4,b41,tp
649,a42,a44,0,0,b41,tp
650,a42,a44,1,1,b41,tp
651,a42,a44,2,2,b41,tp
652,a42,a44,3,3,b41,tp
653,a42,a44,4,4,b41,tp
654,a42,a45,0,0,b41,tp
655,a42,a45,1,1,b41,tp
656,a42,a45,2,2,b41,tp
657,a42,a45,3,3,b41,tp
658,a42,a45,4,4,b41,tp
659,a44,a41,0,0,b41,tp
660,a44,a41,1,1,b41,tp
661,a44,a41,2,2,b41,tp
662,a44,a41,3,3,b41,tp
663,a44,a41,4,4,b41,tp
664,a44,a42,0,0,b41,tp
665,a44,a42,1,1,b41,tp
666,a44,a42,2,2,b41,tp
667,a44,a42,3,3,b41,tp
668,a44,a42,4,4,b41,tp
669,a44,a45,0,0,b41,tp
670,a44,a45,1,1,b41,tp
671,a44,a45,2,2,b41,tp
672,a44,a45,3,3,b41,tp
673,a44,a45,4,4,b41,tp
674,a45,a41,0,0,b41,tp
675,a45,a41,1,1,b41,tp
676,a45,a41,2,2,b41,tp
677,a45,a41,3,3,b41,tp
678,a45,a41,4,4,b41,tp
679,a45,a42,0,0,b41,tp
680,a45,a42,1,1,b41,tp
681,a45,a42,2,2,b41,tp
682,a45,a42,3,3,b41,tp
683,a45,a42,4,4,b41,tp
684,a45,a44,0,0,b41,tp
685,a45,a44,1,1,b41,tp
686,a45,a44,2,2,b41,tp
687,a45,a44,3,3,b41,tp
688,a45,a44,4,4,b41,tp
689,a41,a42,0,0,b42,tp
690,a41,a42,1,1,b42,tp
691,a41,a42,2,2,b42,tp
692,a41,a42,3,3,b42,tp
693,a41,a42,4,4,b42,tp
694,a41,a42,5,5,b42,tp
695,a41,a42,6,6,b42,tp
696,a41,a42,7,7,b42,tp
697,a41,a44,0,0,b42,tp
698,a41,a44,1,1,b42,tp
699,a41,a44,2,2,b42,tp
700,a41,a44,3,3,b42,tp
701,a41,a44,4,4,b42,tp
702,a41,a44,5,5,b42,tp
703,a41,a44,6,6,b42,tp
704,a41,a44,7,7,b42,tp
705,a41,a45,0,0,b42,tp
706,a41,a45,1,1,b42,tp
707,a41,a45,2,2,b42,tp
708,a41,a45,3,3,b42,tp
709,a41,a45,4,4,b42,tp
710,a41,a45,5,5,b42,tp
711,a41,a45,6,6,b42,tp
712,a41,a45,7,7,b42,tp
713,a42,a41,0,0,b42,tp
714,a42,a41,1,1,b42,tp
715,a42,a41,2,2,b42,tp
716,a42,a41,3,3,b42,tp
717,a42,a41,4,4,b42,tp
718,a42,a41,5,5,b42,tp
719,a42,a41,6,6,b42,tp
720,a42,a41,7,7,b42,tp
721,a42,a44,0,0,b42,tp
722,a42,a44,1,1,b42,tp
723,a42,a44,2,2,b42,tp
724,a42,a44,3,3,b42,tp
725,a42,a44,4,4,b42,tp
726,a42,a44,5,5,b42,tp
727,a42,a44,6,6,b42,tp
728,a42,a44,7,7,b42,tp
729,a42,a45,0,0,b42,tp
730,a42,a45,1,1,b42,tp
731,a42,a45,2,2,b42,tp
732,a42,a45,3,3,b42,tp
733,a42,a45,4,4,b42,tp
734,a42,a45,5,5,b42,tp
735,a42,a45,6,6,b42,tp
736,a42,a45,7,7,b42,tp
737,a44,a41,0,0,b42,tp
738,a44,a41,1,1,b42,fp
739,a44,a41,2,2,b42,fp
740,a44,a41,3,3,b42,fp
741,a44,a41,4,4,b42,fn
742,a44,a41,5,5,b42,fn
743,a44,a41,6,6,b42,fn
744,a44,a41,7,7,b42,fn
745,a44,a42,0,0,b42,tp
746,a44,a42,1,1,b42,fp
747,a44,a42,2,2,b42,fp
748,a44,a42,3,3,b42,fp
749,a44,a42,4,4,b42,fn
750,a44,a42,5,5,b42,fn
751,a44,a42,6,6,b42,fn
752,a44,a42,7,7,b42,fn
753,a44,a45,0,0,b42,tp
754,a44,a45,1,1,b42,tp
755,a44,a45,2,2,b42,tp
756,a44,a45,3,3,b42,tp
757,a44,a45,4,4,b42,tp
758,a44,a45,5,5,b42,tp
759,a44,a45,6,6,b42,tp
760,a44,a45,7,7,b42,tp
761,a45,a41,0,0,b42,tp
762,a45,a41,1,1,b42,fp
763,a45,a41,2,2,b42,fp
764,a45,a41,3,3,b42,fp
765,a45,a41,4,4,b42,fn
766,a45,a41,5,5,b42,fn
